S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai[C],13562,15802,78,14715,108,0,3569,880,0,0,140,0,0,0,0,0,0,910,34,0,0,17
2,Greater Mumbai,Mumbai[W],38728,19664,49,31602,1035,53,535,325,9903,0,138,128,21,40,0,315,9,570,1384,0,0,0
3,Greater Mumbai,Mumbai[E],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Greater Mumbai,Borivali,18729,13931,135,12788,107,0,874,1113,10793,0,16,85,1,22,0,32,0,707,601,0,0,3
5,Thane Region,Thane,50256,15435,252,16156,3191,0,5,1420,5439,0,575,154,0,58,10,3005,239,3219,426,84,71,67
6,Thane Region,Kalyan,51106,0,0,9934,0,0,120,220,8161,34,101,54,17,16,81,250,7,415,1460,49,13,56
7,Thane Region,Vashi Navi Mumbai,18455,0,0,10799,0,0,0,1006,3469,43,265,101,15,39,364,1802,241,322,1648,0,0,25
8,Thane Region,Vasai,32409,11221,105,8697,31,13,1,379,2250,5,155,40,4,31,0,897,48,2639,437,26,20,95
9,Panvel Region,Panvel,26432,0,0,15096,1,0,0,790,2167,7,82,110,25,20,2994,2460,116,1500,535,15,0,104
10,Panvel Region,Pen-Raigad,16022,0,0,3075,508,0,0,116,1125,0,40,90,12,19,31,323,48,1074,85,83,16,172
11,Panvel Region,Ratnagiri,8768,5085,1285,1744,526,0,18,0,1558,9,30,10,15,10,1,303,8,694,494,22,6,30
12,Panvel Region,Sindhudurg,7576,5525,0,1217,197,0,3,4,940,0,18,9,2,3,2,184,1,458,20,12,1,6
13,Kolhapur Region,Kolhapur,63654,7292,272,8030,198,0,1,20,1035,0,78,79,14,8,26,422,33,1031,289,3741,2851,143
14,Kolhapur Region,Sangli,27140,8748,0,3113,1088,0,3,40,961,0,4,86,12,5,0,404,14,1365,315,2278,1149,96
15,Kolhapur Region,Satara,26712,6988,5210,3978,876,0,21,211,486,0,23,62,8,17,0,482,24,1539,190,1883,926,60
16,Kolhapur Region,Karad,12826,241,0,1208,320,0,39,93,224,0,6,34,11,4,10,214,0,367,76,411,374,29
17,Pune Region,Pune,145744,20280,175,45943,1,0,3,3207,4708,0,718,710,36,67,1319,1403,228,5327,1062,1675,627,363
18,Pune Region,Solapur,38766,8171,2409,3914,300,0,0,67,1131,47,13,49,7,7,0,351,19,769,312,1997,786,53
19,Pune Region,Pimpri-Chinchwad,64303,33297,44,23215,2113,0,0,2409,832,287,703,63,31,522,0,593,63,1546,1600,1593,10,519
20,Pune Region,Baramati,21410,253,3,2707,5,0,0,26,254,0,21,46,0,6,0,286,11,885,442,1433,408,83
21,Pune Region,Akluj,15667,103,85,1514,119,0,0,0,4,25,17,51,0,0,0,61,0,600,249,1089,392,5
22,Nashik Region,Nashik,55921,21386,1192,12927,6,0,18,395,1589,11,125,231,0,36,0,448,54,1672,1064,6148,874,165
23,Nashik Region,Ahmednagar,27726,9082,1166,3273,725,0,0,63,766,0,4,141,6,10,29,133,7,1335,215,1991,1,87
24,Nashik Region,Srirampur,36679,2454,318,3379,375,0,0,34,52,0,64,48,0,5,0,134,28,652,526,2635,484,81
25,Nashik Region,Malegaon,25925,144,1180,2108,0,0,7,12,149,0,1,20,2,3,0,47,0,449,370,2718,1154,61
26,Dhule Region,Dhule,20938,3528,43,1776,395,0,0,36,485,0,0,22,0,4,211,234,54,92,587,938,430,25
27,Dhule Region,Jalgaon,47061,7036,1077,2249,761,6,0,166,2536,0,32,117,8,0,0,334,4,312,1329,2568,1005,63
28,Dhule Region,Nandurbar,8191,4602,210,857,382,0,4,0,0,0,1,0,0,1,0,10,0,55,115,772,225,1
29,Aurangabad Region,Aurangabad,81220,3508,344,3648,2278,0,0,201,1144,296,184,71,251,19,0,1154,87,2079,3922,1113,489,10
30,Aurangabad Region,Jalna,19294,2008,374,787,317,0,0,5,438,0,10,28,2,2,0,82,10,75,555,1296,150,21
31,Aurangabad Region,Beed,10213,575,462,713,629,0,0,8,165,0,2,1,6,6,0,245,3,569,696,598,91,0
32,Latur Region,Latur,23652,634,1007,1305,736,0,0,73,1162,0,4,64,0,7,33,97,20,389,209,891,173,64
33,Latur Region,Osmanabad,11685,1416,20,840,336,0,0,67,164,0,3,28,1,0,0,269,1,356,171,1151,165,10
34,Latur Region,Ambejogai,7514,778,229,413,249,0,0,2,6,0,1,5,2,0,15,36,21,65,98,392,78,10
35,Nanded Region,Nanded,38050,184,151,2083,0,0,7,0,1534,0,1,52,0,0,0,296,5,405,393,596,330,18
36,Nanded Region,Parbhani,13876,235,156,679,440,0,4,0,769,0,9,16,0,2,0,64,3,11,413,839,248,14
37,Nanded Region,Hingoli,8142,679,64,297,159,0,0,0,210,0,0,0,10,1,0,2,3,177,31,560,189,3
38,Amrawati Region,Amrawati,29966,9165,405,3079,178,0,0,75,740,0,31,137,0,20,0,146,1,461,213,926,702,28
39,Amrawati Region,Buldhana,19411,1618,1225,1446,387,0,7,3,505,0,1,78,0,8,0,77,4,438,223,1885,697,10
40,Amrawati Region,Yawatmal,18327,1647,4922,2028,384,0,0,35,746,0,19,61,0,8,0,65,3,470,199,797,280,13
41,Amrawati Region,Akola,18575,6048,426,1818,85,0,0,17,1408,0,15,33,2,3,0,67,10,449,213,964,504,36
42,Amrawati Region,Washim,6143,3592,1269,523,237,0,1,2,283,0,1,9,0,1,0,26,1,158,66,758,322,6
43,Nagpur[U] Region,Nagpur,12883,0,0,3365,623,0,0,159,909,0,14,77,0,10,0,59,0,241,170,0,2,0
44,Nagpur[U] Region,Wardha,7637,0,0,1160,116,5,0,10,109,0,3,78,0,9,61,52,1,296,203,609,77,13
45,Nagpur[U] Region,Nagpur[East],30075,0,0,3159,1166,0,3,254,1837,0,21,177,4,17,22,85,11,695,846,30,6,0
46,Nagpur[R] Region,Nagpur,31031,9501,90,3332,1410,0,0,129,67,134,88,269,21,25,117,1059,8,1604,137,1031,189,106
47,Nagpur[R] Region,Gadchiroli,8510,2238,0,583,191,0,0,72,24,0,2,11,2,9,0,13,0,176,5,642,196,14
48,Nagpur[R] Region,Chandrapur,17629,9311,688,1722,179,0,0,46,964,0,16,31,11,5,91,258,20,560,105,934,284,41
49,Nagpur[R] Region,Gondia,13431,2434,628,637,328,0,0,19,30,0,19,37,0,3,0,70,0,191,36,491,465,13
50,Nagpur[R] Region,Bhandara,11513,4033,218,883,111,0,0,3,42,0,13,35,0,2,0,124,4,257,97,950,362,27
