S. No.,Year,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
47,2000,Nagpur(R) Region,Gadchiroli,1826,80,256,49,37,0,26,0,3,0,1,0,0,2,0,0,0,20,4,116,96,0
48,2000,Nagpur(R) Region,Chandrapur,7119,1108,1815,424,207,0,16,0,26,0,10,0,0,11,0,256,1,116,76,299,262,11
49,2000,Nagpur(R) Region,Gondia,4630,675,1630,280,119,0,13,0,10,2,0,1,5,0,0,47,2,27,23,326,283,0
50,2000,Nagpur(R) Region,Bhandara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2001,Greater Mumbai,Mumbai(C),9533,2723,149,8457,360,0,1571,0,0,156,72,1,66,16,0,35,24,157,178,0,0,30
52,2001,Greater Mumbai,Mumbai(W),12620,5798,25,9642,278,0,382,0,4305,0,99,19,30,20,0,13,3,145,570,20,6,0
53,2001,Greater Mumbai,Mumbai€,8351,1051,201,2529,109,4,87,0,1874,0,19,0,7,6,0,5,0,33,308,0,0,10
54,2001,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2001,Thane Region,Thane,21850,4304,1634,15519,2748,5,909,0,5398,30,136,24,46,9,0,3075,92,1413,1249,76,128,122
56,2001,Thane Region,Kalyan,7423,2044,1312,1087,206,0,100,0,1943,0,5,2,6,11,0,127,0,109,240,13,6,9
57,2001,Thane Region,Vashi Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2001,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2001,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2001,Panvel Region,Pen-Raigad,8990,2350,2,2748,758,2,1743,0,702,0,6,149,5,13,0,218,241,801,372,48,48,74
61,2001,Panvel Region,Ratnagiri,5131,479,0,648,128,6,11,0,1925,0,9,1,0,5,0,64,11,194,194,31,29,11
62,2001,Panvel Region,Sindhudurg,3097,289,279,277,24,36,106,0,884,0,1,2,9,2,0,109,0,179,93,13,43,3
63,2001,Kolhapur Region,Kolhapur,21851,1120,2429,1777,538,1,0,0,578,0,16,0,0,18,0,215,28,138,290,511,832,7
64,2001,Kolhapur Region,Sangli,14182,725,1188,917,535,28,30,0,126,0,2,1,7,5,0,166,11,262,251,555,650,4
65,2001,Kolhapur Region,Satara,13343,352,1212,870,368,2,35,0,267,76,1,2,1,9,0,165,0,171,525,644,451,3
66,2001,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2001,Pune Region,Pune,46625,10357,5427,11010,1813,0,259,0,3046,28,119,0,0,24,0,523,77,740,1323,659,586,27
68,2001,Pune Region,Solapur,14694,353,2387,613,601,10,0,0,402,0,6,0,0,4,0,88,1,319,136,576,430,0
69,2001,Pune Region,Pimpri-Chinchwad,19270,4468,2830,2866,806,0,54,0,497,0,30,0,0,10,0,370,0,394,574,344,212,4
70,2001,Pune Region,Baramati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2001,Pune Region,Akluj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2001,Nashik Region,Nashik,26972,2822,2437,2462,1322,1,165,0,1483,0,3,0,0,11,0,315,19,740,244,1433,909,5
73,2001,Nashik Region,Ahmednagar,11585,214,1024,807,231,0,18,0,182,0,0,1,2,6,0,122,0,256,263,463,413,14
74,2001,Nashik Region,Srirampur,13387,57,770,621,261,0,131,0,295,0,0,12,1,5,0,182,12,226,322,534,528,8
75,2001,Nashik Region,Malegaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2001,Dhule Region,Dhule,6588,98,1200,343,203,0,163,0,272,0,7,0,2,1,0,276,14,114,104,261,214,10
77,2001,Dhule Region,Jalgaon,15232,399,2833,1020,293,0,163,0,931,0,30,1,0,11,0,228,3,114,263,563,576,5
78,2001,Dhule Region,Nandurbar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2001,Aurangabad Region,Aurangabad,16466,1480,351,1616,437,0,0,0,1841,587,0,33,0,8,0,590,9,620,19,410,122,0
80,2001,Aurangabad Region,Jalna,3898,13,312,229,219,0,0,0,83,0,0,2,0,0,0,66,0,117,10,211,184,0
81,2001,Aurangabad Region,Beed,4863,11,622,268,280,0,0,0,292,0,0,2,0,0,0,176,0,102,30,317,223,0
82,2001,Latur Region,Latur,4729,60,609,395,185,0,104,0,371,0,0,4,4,3,0,95,0,223,119,194,183,0
83,2001,Latur Region,Osmanabad,2706,25,172,199,0,0,27,0,131,0,0,0,0,2,0,30,0,90,146,286,200,1
84,2001,Latur Region,Ambejogai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2001,Nanded Region,Nanded,5711,246,588,350,293,0,0,0,894,0,0,0,2,0,0,199,0,48,0,75,102,0
86,2001,Nanded Region,Parbhani,3298,47,650,208,189,0,0,0,280,0,0,0,0,0,0,68,0,4,0,90,92,0
87,2001,Nanded Region,Hingoli,1011,2,104,40,42,0,0,0,66,0,0,0,0,1,0,7,0,16,2,74,52,0
88,2001,Amrawati Region,Amrawati,7621,576,4155,757,259,0,193,0,590,5,5,1,10,6,0,64,2,32,138,127,67,2
89,2001,Amrawati Region,Buldhana,6803,105,1148,275,136,0,147,0,693,0,8,4,1,2,0,56,0,72,129,256,235,0
90,2001,Amrawati Region,Yawatmal,5854,270,2824,331,141,0,182,0,531,0,1,0,0,1,0,81,2,53,115,154,147,0
91,2001,Amrawati Region,Akola,6207,718,3303,523,161,0,695,0,167,0,0,2,0,6,0,95,4,63,118,175,116,0
92,2001,Amrawati Region,Washim,1392,27,225,60,20,0,41,0,205,0,2,2,0,2,0,14,0,14,40,135,102,0
93,2001,Nagpur(U) Region,Nagpur,28272,6170,13745,4512,676,0,120,0,402,1,2,41,147,19,0,960,22,483,246,175,159,54
94,2001,Nagpur(U) Region,Wardha,2864,513,1400,100,95,0,13,0,299,0,0,2,0,0,0,10,0,16,43,74,90,0
95,2001,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2001,Nagpur(R) Region,Nagpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2001,Nagpur(R) Region,Gadchiroli,1618,161,36,43,50,0,25,0,4,0,0,0,1,5,0,2,0,22,1,60,50,3
98,2001,Nagpur(R) Region,Chandrapur,1943,631,7719,491,208,5,38,0,121,0,5,1,3,6,0,518,1,80,95,202,156,24
99,2001,Nagpur(R) Region,Gondia,4057,346,1195,201,78,0,54,0,12,0,0,7,0,0,0,99,0,73,19,195,169,1
100,2002,Nagpur(R) Region,Bhandara,1520,45,354,65,11,0,16,0,15,0,0,0,0,1,0,12,0,8,20,69,58,0
101,2002,Greater Mumbai,Mumbai(C),12318,2374,17,7831,206,1,1150,0,0,134,105,0,76,18,0,22,0,141,335,2,2,26
102,2002,Greater Mumbai,Mumbai(W),19989,6696,0,10048,346,0,527,0,12284,0,127,8,48,13,0,7,0,125,903,13,2,0
103,2002,Greater Mumbai,Mumbai€,10613,1490,177,2799,33,1,248,0,4421,0,24,0,26,7,0,8,0,48,474,0,1,5
104,2002,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2002,Thane Region,Thane,29316,5729,1137,18446,3874,1,1474,0,3678,0,198,26,43,30,0,3564,0,1854,1860,42,160,82
106,2002,Thane Region,Kalyan,10317,2644,688,1316,187,0,125,0,1781,25,8,2,2,12,0,98,12,103,354,6,7,4
107,2002,Thane Region,Vashi Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2002,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2002,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2002,Panvel Region,Pen-Raigad,10012,1706,5,3781,734,2,2006,0,221,10,25,3,1,21,0,812,54,426,217,33,37,150
111,2002,Panvel Region,Ratnagiri,5910,361,0,555,103,0,9,0,1089,0,9,1,0,12,0,68,0,213,160,9,10,0
112,2002,Panvel Region,Sindhudurg,3085,210,332,414,68,15,14,0,1040,0,2,4,1,6,0,130,0,100,96,13,24,2
113,2002,Kolhapur Region,Kolhapur,20544,1804,2605,1834,284,1,20,0,340,1,67,0,3,11,0,248,35,209,332,376,519,7
114,2002,Kolhapur Region,Sangli,12657,823,1488,788,441,16,87,0,199,0,5,1,6,6,0,135,4,265,380,334,304,1
115,2002,Kolhapur Region,Satara,14042,255,1221,846,306,0,72,0,274,0,1,2,1,3,0,228,10,198,701,466,408,0
116,2002,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2002,Pune Region,Pune,48466,14244,6716,11125,1638,3,485,0,3062,282,249,0,0,19,0,548,54,894,1778,379,341,25
118,2002,Pune Region,Solapur,15722,560,2130,591,470,0,39,0,412,0,7,0,0,6,0,91,6,352,272,444,279,0
119,2002,Pune Region,Pimpri-Chinchwad,21643,1671,2311,2670,483,0,80,0,263,0,38,0,0,8,0,322,0,727,686,328,148,6
120,2002,Pune Region,Baramati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2002,Pune Region,Akluj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2002,Nashik Region,Nashik,28432,2186,3209,2849,1176,1,192,0,1573,0,9,0,0,9,0,488,16,1129,224,1291,949,2
123,2002,Nashik Region,Ahmednagar,11704,459,1240,754,115,1,90,0,227,0,4,0,2,3,0,71,0,258,356,264,210,29
124,2002,Nashik Region,Srirampur,10618,78,628,529,189,0,198,0,254,0,2,3,0,12,0,126,0,236,410,334,348,8
125,2002,Nashik Region,Malegaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
