S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai[C],18811,9548,0,17483,168,0,4482,825,0,0,8,3,0,0,0,0,0,380,273,0,0,0
2,Greater Mumbai,Mumbai[W],31679,14295,24,30889,2769,0,821,1132,2890,0,2,389,7,32,0,118,0,540,1201,41,0,0
3,Greater Mumbai,Mumbai[E],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Greater Mumbai,Borivali,20501,6114,32,12430,113,0,747,473,3302,0,18,145,1,26,0,14,0,302,607,0,2,0
5,Thane Region,Thane,50076,14534,355,27896,1021,20,33,3369,1230,43,1244,29,21,115,77,4215,830,5647,7785,96,625,87
6,Thane Region,Kalyan,38907,0,0,10114,27,0,7,189,619,23,104,7,0,34,0,303,76,899,1030,17,31,208
7,Thane Region,Vashi Navi Mumbai,15188,81,0,13184,104,0,37,698,493,11,251,136,32,28,0,1067,220,643,1462,0,381,57
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,25313,589,0,13733,50,0,0,529,176,3,108,147,112,96,1596,1513,219,1303,227,81,34,384
10,Panvel Region,Pen-Raigad,14191,0,0,3306,584,0,0,163,32,268,53,4,16,40,121,528,27,1025,152,151,96,171
11,Panvel Region,Ratnagiri,10858,3882,112,2599,443,0,1,52,344,0,40,8,6,19,2,402,5,789,240,0,8,345
12,Panvel Region,Sindhudurg,7041,2431,139,1157,241,0,1,8,488,548,20,1,10,20,0,1092,0,496,112,8,11,16
13,Kolhapur Region,Kolhapur,66377,4648,1075,8486,855,0,38,66,150,0,111,81,4,40,344,1285,45,1882,1476,2505,2796,289
14,Kolhapur Region,Sangli,36092,5033,2628,3913,845,0,24,45,149,0,0,37,6,10,47,810,20,1842,456,2504,2267,155
15,Kolhapur Region,Satara,33827,3926,3797,4808,963,0,0,430,114,19,18,30,3,26,0,1067,1,1930,414,2165,2263,131
16,Kolhapur Region,Karad,5431,222,417,750,125,0,0,90,11,0,5,12,15,3,0,221,1,304,60,369,195,29
17,Pune Region,Pune,155401,137,2,47862,1331,1,0,1936,2283,0,653,51,0,71,115,2220,127,2567,3002,715,4,536
18,Pune Region,Solapur,35830,4607,2334,2668,958,0,0,89,128,0,5,18,14,31,1,179,30,457,790,3530,627,210
19,Pune Region,Pimpri-Chinchwad,84039,0,0,22444,0,0,0,1959,294,481,545,148,56,75,0,1641,42,3155,1457,1201,153,432
20,Pune Region,Baramati,18247,522,0,2085,73,0,0,26,5,0,10,1,21,18,0,451,1,968,325,1883,2131,95
21,Pune Region,Akluj,17788,0,0,1260,662,0,0,0,0,0,0,0,0,1,0,333,2,587,351,1262,1431,221
22,Nashik Region,Nashik,61866,11489,138,12567,1738,0,26,189,781,0,263,47,6,56,9,657,110,2651,740,3487,1610,215
23,Nashik Region,Ahmednagar,33083,5014,1023,3531,357,0,2,94,52,0,3,23,15,3,38,631,24,708,752,2464,911,48
24,Nashik Region,Srirampur,35721,410,1988,3257,934,0,30,103,49,0,26,45,4,14,1,211,52,876,816,1104,1612,81
25,Nashik Region,Malegaon,19321,483,165,1713,0,0,10,18,534,0,9,22,0,14,0,309,0,372,357,1984,1866,0
26,Dhule Region,Dhule,15460,2234,504,1879,333,23,14,22,357,0,11,7,15,10,0,1094,9,279,172,1348,943,21
27,Dhule Region,Jalgaon,37276,6733,1193,2773,611,0,33,44,1485,25,14,24,1,18,0,356,7,111,1157,2566,1244,30
28,Dhule Region,Nandurbar,7603,2350,0,937,373,0,1,0,227,0,0,0,0,42,0,32,3,166,335,1334,564,3
29,Aurangabad Region,Aurangabad,65650,2442,20,2960,1691,0,0,0,854,660,88,75,250,18,0,688,41,1478,2811,1074,520,0
30,Aurangabad Region,Jalna,20083,146,1237,1020,497,0,0,0,407,0,0,11,0,0,0,101,8,77,466,1490,581,33
31,Aurangabad Region,Beed,6750,315,245,264,314,0,0,0,339,0,0,0,0,0,0,159,0,338,475,364,27,0
32,Latur Region,Latur,15765,3494,2694,2065,809,0,0,73,690,0,24,39,0,6,0,215,0,245,680,1092,348,20
33,Latur Region,Osmanabad,12210,848,136,768,417,0,0,110,192,0,1,20,0,10,0,134,8,340,81,1185,387,48
34,Latur Region,Ambejogai,7420,334,592,474,276,0,0,0,27,0,1,4,1,3,11,63,20,51,208,600,252,23
35,Nanded Region,Nanded,32246,2098,2389,2711,2067,0,783,0,3280,0,62,51,0,0,3,1943,7,1711,1260,1374,783,34
36,Nanded Region,Parbhani,15121,118,199,707,540,0,0,10,1071,0,12,5,0,18,13,105,14,75,424,630,230,19
37,Nanded Region,Hingoli,8244,260,24,695,213,0,0,0,160,0,2,1,0,0,0,24,0,160,87,421,82,0
38,Amrawati Region,Amrawati,30249,4208,554,3007,356,12,9,20,646,0,28,8,0,32,0,281,2,685,77,1157,525,24
39,Amrawati Region,Buldhana,19732,1739,1004,850,431,0,6,80,1009,0,1,30,14,24,0,149,1,364,347,1716,800,0
40,Amrawati Region,Yawatmal,15279,5269,703,1880,456,3,0,44,462,0,21,30,0,4,2,357,0,818,128,420,244,0
41,Amrawati Region,Akola,16071,6959,278,1814,115,0,6,29,951,0,15,11,1,12,2,131,36,588,120,897,556,63
42,Amrawati Region,Washim,5001,858,84,352,179,0,0,3,499,0,4,3,0,4,0,30,0,340,52,804,346,1
43,Nagpur[U] Region,Nagpur,42354,26548,0,10167,2202,0,0,243,1129,0,160,39,7,37,0,376,181,1374,531,100,62,100
44,Nagpur[U] Region,Wardha,6722,0,2681,970,288,0,0,16,3,0,5,15,14,16,13,98,8,440,171,547,170,93
45,Nagpur[U] Region,Nagpur[East],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur[R] Region,Nagpur,22043,3881,4499,2222,1430,0,1,34,175,438,50,63,4,20,116,1720,2,1136,172,977,364,147
47,Nagpur[R] Region,Gadchiroli,5437,1358,34,431,147,0,0,19,6,0,1,3,0,22,0,35,10,182,0,549,240,23
48,Nagpur[R] Region,Chandrapur,19610,3515,3394,2235,382,1,24,53,59,0,23,34,4,23,143,939,3,934,79,979,430,118
49,Nagpur[R] Region,Gondia,12494,814,330,650,321,0,0,10,0,0,14,5,3,13,0,174,9,292,28,509,253,13
50,Nagpur[R] Region,Bhandara,10609,2389,804,915,108,0,0,1,51,0,2,8,4,15,41,106,0,279,18,833,506,16
