S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
18,Pune Region,Solapur,37394,7043,2088,3475,496,0,0,80,244,0,20,65,4,7,0,310,21,794,759,1645,308,54
19,Pune Region,Pimpri-Chinchwad,69376,19060,1,21949,391,1,0,1677,444,595,667,46,6,372,3,633,46,2031,1574,1392,14,142
20,Pune Region,Baramati,22728,452,0,3095,30,0,0,27,25,0,24,43,4,5,0,279,44,1084,218,1344,528,78
21,Pune Region,Akluj,11824,0,0,1211,0,0,0,1,0,0,3,29,0,5,0,175,0,718,324,916,349,85
22,Nashik Region,Nashik,59830,17079,404,12477,74,1,1,84,553,13,150,90,0,52,0,404,31,3325,593,6126,746,257
23,Nashik Region,Ahmednagar,26053,7341,861,3011,467,0,0,95,7,0,10,39,6,22,28,248,23,1505,355,2208,0,111
24,Nashik Region,Srirampur,39477,1412,198,3069,513,0,0,17,56,0,17,84,5,13,15,134,41,1073,657,2516,421,115
25,Nashik Region,Malegaon,23232,682,2214,2296,16,0,1,9,255,0,0,21,0,18,0,141,4,582,320,3110,1394,13
26,Dhule Region,Dhule,18985,2285,902,1714,467,1,2,79,330,0,7,19,1,8,298,347,115,102,563,1313,514,50
27,Dhule Region,Jalgaon,33657,6100,5389,2099,859,0,5,21,1369,0,28,44,0,10,0,248,18,125,970,2118,650,16
28,Dhule Region,Nandurbar,10599,3359,87,699,384,6,4,0,1,0,0,11,0,1,0,24,0,77,472,1157,400,91
29,Aurangabad Region,Aurangabad,74806,2878,187,3304,1773,0,0,96,1043,526,202,112,305,49,0,948,80,1926,3420,1114,473,0
30,Aurangabad Region,Jalna,18727,1632,547,925,399,0,0,0,272,0,0,33,3,1,0,111,0,127,721,1183,291,38
31,Aurangabad Region,Beed,8934,593,374,597,661,0,0,0,240,0,0,0,0,0,0,221,57,589,787,461,98,0
32,Latur Region,Latur,13487,1816,1830,1902,802,0,35,0,300,44,14,116,0,9,0,110,32,722,213,745,11,65
33,Latur Region,Osmanabad,10215,1359,224,704,318,0,0,73,82,0,1,37,0,12,0,160,5,583,183,1387,183,22
34,Latur Region,Ambejogai,7908,1130,615,636,282,0,0,23,0,0,6,20,0,6,0,71,5,260,102,214,0,31
35,Nanded Region,Nanded,40196,242,865,1909,9,0,99,0,987,0,0,70,0,14,0,321,2,1086,1157,639,228,56
36,Nanded Region,Parbhani,14343,190,222,647,470,0,0,27,883,0,5,9,0,2,0,112,3,11,694,980,115,30
37,Nanded Region,Hingoli,5468,316,48,460,44,0,0,7,115,0,9,1,0,1,0,16,3,289,66,817,50,0
38,Amrawati Region,Amrawati,34326,5768,414,2851,498,2,0,71,186,0,35,42,91,18,0,251,6,800,158,1938,929,22
39,Amrawati Region,Buldhana,20110,1571,1072,1080,525,0,0,29,371,0,0,37,18,6,0,188,0,195,697,2280,605,33
40,Amrawati Region,Yawatmal,16796,5598,885,1565,492,0,0,53,250,0,10,23,19,1,0,116,0,698,233,1017,385,4
41,Amrawati Region,Akola,18688,7752,325,1637,88,0,0,31,916,6,7,27,1,15,0,81,28,699,134,1458,773,42
42,Amrawati Region,Washim,10297,1782,295,524,322,0,0,3,508,0,3,12,2,5,0,38,0,277,62,1328,989,7
43,Nagpur[U] Region,Nagpur,9207,6543,36,3607,734,0,9,59,605,0,15,237,0,21,0,74,1,316,150,14,5,0
44,Nagpur[U] Region,Wardha,4299,0,1943,1052,143,0,0,9,16,0,14,98,0,6,24,48,3,459,224,758,98,64
45,Nagpur[U] Region,Nagpur[East],26148,9202,9,3058,880,0,1,67,1312,0,21,386,3,38,21,206,13,881,574,0,4,0
46,Nagpur[R] Region,Nagpur,27971,6864,103,3149,1146,0,0,78,126,370,57,369,35,36,89,977,6,1641,160,1289,318,126
47,Nagpur[R] Region,Gadchiroli,7993,1789,3,540,185,0,0,24,0,0,4,10,0,9,0,48,0,278,7,552,229,5
48,Nagpur[R] Region,Chandrapur,15131,5504,3692,1736,248,0,0,56,93,0,16,39,7,17,33,330,13,792,97,969,234,76
49,Nagpur[R] Region,Gondia,13953,1331,430,645,256,0,0,7,0,0,2,38,5,7,0,196,5,270,36,591,273,22
50,Nagpur[R] Region,Bhandara,10228,4948,119,733,217,0,0,7,47,0,10,36,0,4,0,126,4,329,93,793,300,11
