S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai[C],15013,14012,20,14168,7,0,4058,554,0,0,0,0,0,0,0,0,0,310,205,0,0,14
2,Greater Mumbai,Mumbai[W],30330,13929,23,28839,2,0,919,902,7624,0,3,241,13,40,0,210,5,364,873,0,0,0
3,Greater Mumbai,Mumbai[E],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Greater Mumbai,Borivali,18750,10237,79,11185,47,0,696,473,7479,0,30,90,2,17,0,21,0,156,479,0,0,5
5,Thane Region,Thane,48805,10175,48,19759,1742,0,0,2297,4568,0,1034,82,94,13,1507,8846,2480,1936,210,43,747,178
6,Thane Region,Kalyan,44469,0,0,8745,2,0,23,177,2204,1320,134,97,2,24,7,219,32,328,1273,48,15,27
7,Thane Region,Vashi Navi Mumbai,16662,0,0,8388,0,0,0,439,1663,1,161,99,10,16,3,843,157,215,1022,0,233,15
8,Thane Region,Vasai,26439,8551,104,8378,38,11,0,273,755,9,55,41,1,26,32,257,163,1642,534,9,16,94
9,Panvel Region,Panvel,25574,0,0,13577,0,0,0,445,172,0,115,165,29,21,908,837,201,695,803,51,23,184
10,Panvel Region,Pen-Raigad,16035,0,0,2989,510,0,0,177,181,68,62,135,33,10,7,156,17,1035,74,97,2,109
11,Panvel Region,Ratnagiri,8527,5159,0,1796,368,0,0,16,186,1,29,14,6,32,2,309,19,816,369,19,0,81
12,Panvel Region,Sindhudurg,6922,4484,0,1211,216,0,4,6,269,50,14,7,1,6,0,141,1,652,29,6,2,18
13,Kolhapur Region,Kolhapur,61613,6798,1075,7857,532,0,0,29,361,0,8,75,47,18,63,668,18,1519,591,4065,1599,368
14,Kolhapur Region,Sangli,30535,6477,896,3555,1289,0,6,61,180,0,12,145,9,8,26,383,7,1768,213,2439,795,123
15,Kolhapur Region,Satara,27222,4977,4003,3637,862,0,24,212,123,0,30,68,2,17,0,566,5,1691,291,2178,835,99
16,Kolhapur Region,Karad,12194,626,4,1052,310,0,17,67,32,0,5,60,0,5,0,218,0,468,105,471,268,14
17,Pune Region,Pune,86644,58762,388,41503,4,0,30,903,1928,0,574,0,88,25,218,1581,65,463,1814,1641,145,252
