S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai[C],14400,15197,55,13165,249,0,2064,2833,0,2,63,3,0,22,0,37,1,664,218,0,3,14
2,Greater Mumbai,Mumbai[W],18568,15457,19,17687,116,34,342,9733,6338,0,88,82,13,26,0,202,6,365,886,0,0,0
3,Greater Mumbai,Mumbai[E],19476,18714,95,14036,25,0,106,2807,3075,0,71,9,5,17,0,0,0,1092,0,0,0,0
4,Greater Mumbai,Borivali,21152,17311,88,11390,62,0,696,3987,6270,0,13,58,1,15,0,3,2,710,503,1,0,4
5,Thane Region,Thane,51830,21400,209,16335,2953,10,3,3845,6612,0,1092,209,0,84,0,3553,493,3155,348,42,116,92
6,Thane Region,Kalyan,61855,0,0,10635,0,0,324,847,2157,32,89,86,11,42,85,355,111,83,1871,50,5,75
7,Thane Region,Vashi Navi Mumbai,24404,0,0,10805,0,0,203,1763,2445,44,334,143,11,18,364,2751,267,284,1866,0,0,9
8,Thane Region,Vasai,38868,10315,53,8865,8,0,6,1332,2059,0,233,18,8,37,226,505,24,2798,113,30,1,50
9,Panvel Region,Panvel,24955,6399,5,14293,18,0,56,1409,727,24,67,184,0,34,3032,2515,154,1912,191,2,0,246
10,Panvel Region,Pen-Raigad,18267,0,0,2992,437,0,0,210,274,40,31,54,8,16,24,319,43,782,106,48,16,149
11,Panvel Region,Ratnagiri,7133,3196,814,1540,445,0,0,33,401,0,49,24,4,17,0,208,7,464,465,21,2,25
12,Panvel Region,Sindhudurg,7866,7091,0,1258,327,0,12,7,618,0,28,8,5,5,0,147,1,415,38,7,4,12
13,Kolhapur Region,Kolhapur,59376,15347,3857,8695,82,11,0,93,429,0,133,75,25,11,3,545,26,1214,248,3346,2436,437
14,Kolhapur Region,Sangli,20351,7433,742,3259,974,0,15,70,316,0,0,41,22,6,0,432,116,1019,243,1371,243,78
15,Kolhapur Region,Satara,25393,8933,4900,4205,672,0,86,246,324,0,23,63,4,12,0,484,26,1274,221,1807,882,79
16,Kolhapur Region,Karad,13265,49,0,1256,116,0,30,101,110,0,9,20,4,4,0,278,0,358,94,317,312,9
17,Pune Region,Pune,103529,74233,395,46606,3,0,4,6271,3220,0,1966,584,15,33,1557,2981,24,4350,1379,1720,319,289
18,Pune Region,Solapur,39875,8192,1311,3508,339,0,0,83,599,15,20,92,4,11,0,282,24,856,360,2101,552,42
19,Pune Region,Pimpri-Chinchwad,63392,41096,0,25151,821,0,0,3507,563,775,682,147,69,95,6,562,58,2256,1434,1542,0,679
20,Pune Region,Baramati,17247,518,75,2574,0,0,0,52,72,0,15,42,6,17,107,377,27,1007,169,1066,400,10
21,Pune Region,Akluj,20230,323,17,1839,4,0,0,5,11,0,3,42,0,0,0,95,0,554,262,1332,287,2
22,Nashik Region,Nashik,57354,25215,1872,13432,11,0,0,355,1255,0,207,87,0,47,1,594,52,950,1706,5155,1352,157
23,Nashik Region,Ahmednagar,25326,10236,1042,3376,687,0,0,108,130,0,4,77,1,10,23,356,7,1258,200,2736,535,126
24,Nashik Region,Srirampur,36019,3306,600,3288,6,0,0,103,110,0,25,67,0,17,0,180,36,1007,696,2421,815,90
25,Nashik Region,Malegaon,24976,0,1687,2357,0,0,14,22,226,0,6,39,1,6,9,102,5,616,219,1995,992,75
26,Dhule Region,Dhule,18809,4388,0,1704,344,0,0,66,309,0,27,18,0,5,588,342,53,88,464,705,250,13
27,Dhule Region,Jalgaon,38314,8646,1585,2452,606,0,0,39,1300,0,30,50,0,5,0,299,1,59,1057,1715,596,37
28,Dhule Region,Nandurbar,10340,4219,0,598,470,0,0,0,12,0,0,7,2,1,0,26,0,37,181,755,182,8
29,Aurangabad Region,Aurangabad,63185,8255,95,7774,0,0,21,332,1650,189,198,65,44,15,0,671,20,1515,511,1308,659,118
30,Aurangabad Region,Jalna,17850,2391,337,778,228,0,0,12,141,0,0,56,0,3,5,113,10,427,93,809,256,17
31,Aurangabad Region,Beed,7540,3461,158,477,380,0,0,56,64,0,0,24,8,4,27,177,19,192,204,623,168,2
32,Latur Region,Latur,22164,1048,1183,1425,766,0,0,142,272,0,23,58,12,8,0,187,19,472,161,419,105,44
33,Latur Region,Osmanabad,10408,2188,0,753,217,0,0,119,39,0,0,25,0,3,0,190,1,274,109,636,2,29
34,Latur Region,Ambejogai,6914,602,386,363,211,0,0,7,9,0,0,7,0,2,5,68,2,7,152,268,159,5
35,Nanded Region,Nanded,30067,167,265,2254,0,0,0,3,292,0,8,45,0,6,0,431,28,355,351,522,195,10
36,Nanded Region,Parbhani,12206,273,184,439,430,0,1,23,28,0,17,16,0,5,0,63,1,12,368,443,146,12
37,Nanded Region,Hingoli,9643,816,96,476,119,0,0,4,122,0,8,19,9,2,0,46,1,188,62,442,215,14
38,Amrawati Region,Amrawati,29877,12628,289,3096,138,0,6,69,565,1,32,94,0,15,0,189,0,468,372,642,809,50
39,Amrawati Region,Buldhana,16114,7302,1762,1167,422,0,0,6,465,0,0,42,0,7,0,77,0,509,134,1370,729,0
40,Amrawati Region,Yawatmal,22051,2694,4901,1739,553,0,55,19,230,0,35,53,0,16,0,161,0,433,377,577,311,9
41,Amrawati Region,Akola,14922,7768,373,2441,77,0,0,16,587,0,11,26,1,1,0,99,1,450,223,510,454,31
42,Amrawati Region,Washim,10568,2492,377,625,252,0,0,6,249,0,8,15,1,2,1,44,1,207,81,666,484,15
43,Nagpur[U] Region,Nagpur,12654,0,0,3901,610,0,0,289,411,0,14,138,0,15,0,22,0,294,212,21,2,2
44,Nagpur[U] Region,Wardha,14506,0,0,1280,100,0,0,13,30,0,9,87,0,8,58,22,3,222,267,466,67,24
45,Nagpur[U] Region,Nagpur[East],29963,0,0,3597,1241,0,0,287,668,0,29,165,1,19,41,144,15,539,773,47,14,0
46,Nagpur[R] Region,Nagpur,28319,12363,994,3535,1687,0,0,184,81,406,61,194,46,27,248,1482,14,1007,324,804,267,94
47,Nagpur[R] Region,Gadchiroli,8413,2453,0,584,263,0,0,26,0,0,2,17,1,5,0,25,0,185,3,648,314,20
48,Nagpur[R] Region,Chandrapur,20731,9930,621,1572,199,0,0,58,628,0,25,61,4,9,246,389,21,659,101,895,312,69
49,Nagpur[R] Region,Gondia,12553,3441,1332,720,336,0,0,13,7,2,5,46,2,2,0,100,38,178,24,792,343,12
50,Nagpur[R] Region,Bhandara,10114,5473,0,1092,181,0,0,3,7,0,3,26,1,3,0,123,4,225,20,784,479,24
